Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","Battery_Pads_4x4",141.500000,-114.750000,270.000000,bottom
"C1","4.7uF","C_1206_3216Metric",133.750000,-103.500000,270.000000,top
"C2","12pF","C_0402_1005Metric",138.000000,-82.250000,270.000000,top
"C3","12pF","C_0402_1005Metric",138.000000,-84.500000,270.000000,top
"C4","10uF","C_0603_1608Metric",152.000000,-80.250000,90.000000,top
"C5","100nF","C_0402_1005Metric",150.500000,-79.750000,90.000000,top
"C6","10uF","C_1206_3216Metric",139.250000,-96.000000,270.000000,top
"C7","1uF","C_1206_3216Metric",140.250000,-118.500000,0.000000,top
"C8","100nF","C_0402_1005Metric",148.000000,-89.250000,0.000000,top
"C9","100nF","C_0402_1005Metric",139.000000,-80.500000,270.000000,top
"C10","100nF","C_0402_1005Metric",141.500000,-77.750000,180.000000,top
"C11","330nF/25V","C_0603_1608Metric",155.500000,-99.750000,270.000000,top
"C12","1uF","C_0603_1608Metric",136.750000,-86.250000,180.000000,top
"C13","2.2uF/5V","C_0402_1005Metric",157.000000,-100.750000,270.000000,top
"C14","10nF","C_0402_1005Metric",139.000000,-84.500000,90.000000,top
"C15","2.2uF/5V","C_0402_1005Metric",157.000000,-98.750000,270.000000,top
"C16","100nF","C_0603_1608Metric",159.000000,-120.000000,180.000000,top
"D1","LED_RGB","LED_RGB_TC5050",150.000000,-72.000000,180.000000,top
"J2","Conn_01x14","Hirose_FH34SRJ-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal",150.000000,-100.000000,180.000000,top
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",150.000000,-118.500000,0.000000,top
"L1","10uH","L_Sunlord_MWSA0518_5.4x5.2mm",134.750000,-98.000000,0.000000,top
"L2","39nH","L_0402_1005Metric",137.500000,-88.250000,90.000000,top
"LS1","Speaker_Crystal","Buzzer_CUI_CPT-9019S-SMT",157.790000,-83.500000,90.000000,top
"Q1","BSS138","SOT-23",143.500000,-100.000000,180.000000,top
"Q2","BSS138","SOT-23",168.000000,-91.000000,0.000000,top
"Q3","BSS84","SOT-23",168.000000,-94.500000,180.000000,top
"R2","10k","R_0402_1005Metric",144.750000,-70.500000,0.000000,top
"R3","1k","R_0603_1608Metric",155.250000,-72.000000,180.000000,top
"R4","330","R_0603_1608Metric",155.250000,-73.750000,180.000000,top
"R5","330","R_0603_1608Metric",155.250000,-70.250000,180.000000,top
"R6","2k 1%","R_0603_1608Metric",143.250000,-115.500000,270.000000,top
"R7","0","R_0603_1608Metric",136.500000,-94.250000,0.000000,top
"R8","10k","R_0402_1005Metric",141.000000,-100.000000,270.000000,top
"R9","100","R_0402_1005Metric",152.250000,-83.250000,90.000000,top
"R10","1k","R_0402_1005Metric",152.250000,-85.500000,270.000000,top
"R11","330","R_0402_1005Metric",131.500000,-107.250000,90.000000,top
"R12","330","R_0402_1005Metric",144.250000,-107.250000,90.000000,top
"R13","330","R_0402_1005Metric",157.000000,-107.250000,90.000000,top
"R14","220k","R_0402_1005Metric",131.500000,-109.250000,270.000000,top
"R15","220k","R_0402_1005Metric",144.250000,-109.250000,270.000000,top
"R16","220k","R_0402_1005Metric",157.000000,-109.250000,270.000000,top
"R17","5.1k","R_0402_1005Metric",144.000000,-118.750000,90.000000,top
"R18","5.1k","R_0402_1005Metric",156.000000,-118.750000,90.000000,top
"R19","0","R_0603_1608Metric",136.500000,-116.000000,0.000000,top
"R20","20k","R_0402_1005Metric",132.750000,-94.500000,180.000000,top
"R21","20k","R_0402_1005Metric",132.750000,-93.250000,0.000000,top
"R22","100k","R_0402_1005Metric",167.000000,-88.250000,270.000000,top
"R23","20k","R_0402_1005Metric",168.250000,-88.250000,90.000000,top
"R24","20k","R_0402_1005Metric",169.500000,-88.250000,270.000000,top
"SW1","LEFT","SW_Push_1P1T_NO_6x6mm_H9.5mm",137.250000,-110.000000,0.000000,top
"SW2","MIDDLE","SW_Push_1P1T_NO_6x6mm_H9.5mm",150.000000,-110.000000,0.000000,top
"SW3","RIGHT","SW_Push_1P1T_NO_6x6mm_H9.5mm",162.750000,-110.000000,0.000000,top
"U1","TPS62203DBV","SOT-23-5",137.000000,-103.000000,270.000000,top
"U2","LTC4054ES5-4.2","TSOT-23-5",140.250000,-115.500000,270.000000,top
"U3","STM32L072CBTx","LQFP-48_7x7mm_P0.5mm",144.750000,-83.500000,270.000000,top
"U4","USBLC6-2SC6","SOT-23-6",161.000000,-116.000000,270.000000,top
"Y1","32768Hz - 12,5 pF","Crystal_SMD_3215-2Pin_3.2x1.5mm",136.250000,-83.000000,90.000000,top
